year,brokerage,active_offices,listing_volume,listing_sides,volume_per_office,sides_per_office
2012,Berkshire Hathaway,27,2623388284.0,3203,97162529.03703703,118.62962962962963
2012,Century 21,185,4081981604.0,12896,22064765.427027028,69.7081081081081
2012,Coldwell Banker,191,10437954506.0,16403,54648976.47120419,85.87958115183245
2012,Compass,10,970690200.0,715,97069020.0,71.5
2012,Keller Williams,150,4994409169.0,11203,33296061.126666665,74.68666666666667
2012,Others,12446,50413563000.0,122437,4050583.5609834483,9.837457817772778
2012,RE/MAX,223,5632938836.0,13099,25259815.40807175,58.73991031390135
2012,Redfin,2,40456573.0,70,20228286.5,35.0
2012,Sotheby's,49,2279509954.0,1901,46520611.30612245,38.795918367346935
2012,eXp,3,35704257.0,92,11901419.0,30.666666666666668
2013,Berkshire Hathaway,32,3317782015.0,3883,103680687.96875,121.34375
2013,Century 21,179,4939172153.0,12904,27593140.519553073,72.08938547486034
2013,Coldwell Banker,186,14301961586.0,18583,76892266.59139785,99.90860215053763
2013,Compass,14,3409506406.0,2539,243536171.85714287,181.35714285714286
2013,Keller Williams,159,6977365886.0,12675,43882804.31446541,79.71698113207547
2013,Others,14284,66137505555.0,126740,4630181.010571268,8.872864743769252
2013,RE/MAX,242,7176123758.0,13365,29653403.958677687,55.22727272727273
2013,Redfin,2,124195691.0,198,62097845.5,99.0
2013,Sotheby's,46,3774762248.0,3003,82060048.86956522,65.28260869565217
2013,eXp,5,49368110.0,112,9873622.0,22.4
2014,Berkshire Hathaway,41,5050081230.0,5864,123172712.92682926,143.02439024390245
2014,Century 21,179,5078879582.0,12081,28373628.94972067,67.49162011173185
2014,Coldwell Banker,216,14504910610.5,17319,67152363.9375,80.18055555555556
2014,Compass,11,4057838116.0,2694,368894374.1818182,244.9090909090909
2014,Keller Williams,169,7931393215.0,13104,46931320.79881657,77.53846153846153
2014,Others,14423,67416726393.0,114234,4674251.292588227,7.920266241419954
2014,RE/MAX,258,7455782498.0,12997,28898381.7751938,50.37596899224806
2014,Redfin,2,187861039.0,291,93930519.5,145.5
2014,Sotheby's,55,4646898987.0,3512,84489072.49090908,63.85454545454545
2014,eXp,4,46988117.0,93,11747029.25,23.25
2015,Berkshire Hathaway,47,5894541435.0,6804,125415775.21276596,144.7659574468085
2015,Century 21,177,5656863931.0,12930,31959683.2259887,73.05084745762711
2015,Coldwell Banker,186,15028816841.0,17079,80800090.54301076,91.8225806451613
2015,Compass,10,4634862111.0,2749,463486211.1,274.9
2015,Keller Williams,187,9912599448.0,15007,53008553.19786096,80.25133689839572
2015,Others,14414,73307261494.69,119207,5085837.484021785,8.270223393922576
2015,RE/MAX,249,8704835386.0,14359,34959178.25702811,57.666666666666664
2015,Redfin,2,275325843.0,442,137662921.5,221.0
2015,Sotheby's,55,5579801384.0,4073,101450934.25454545,74.05454545454545
2015,eXp,5,89666858.0,132,17933371.6,26.4
2016,Berkshire Hathaway,52,6211296605.0,7162,119448011.63461539,137.73076923076923
2016,Century 21,167,5651686936.0,12357,33842436.74251497,73.9940119760479
2016,Coldwell Banker,163,14425580972.0,16543,88500496.7607362,101.49079754601227
2016,Compass,12,5314795509.0,3116,442899625.75,259.6666666666667
2016,Keller Williams,185,11388421153.79,16433,61559033.263729736,88.82702702702703
2016,Others,13975,77812410988.57,120274,5567972.163761718,8.606368515205725
2016,RE/MAX,250,9424893154.4,15214,37699572.6176,60.856
2016,Redfin,2,477932143.0,729,238966071.5,364.5
2016,Sotheby's,43,5796446970.25,4151,134801092.33139536,96.53488372093024
2016,eXp,2,128863791.0,167,64431895.5,83.5
2017,Berkshire Hathaway,49,6558148458.71,7223,133839764.46346939,147.40816326530611
2017,Century 21,172,5884253546.19,12117,34210776.43133721,70.44767441860465
2017,Coldwell Banker,153,15165299608.27,16768,99119605.28281046,109.59477124183006
2017,Compass,12,6335587603.0,3440,527965633.5833333,286.6666666666667
2017,Keller Williams,182,13012301251.380001,17380,71496160.72186814,95.49450549450549
2017,Others,14096,85047767189.08,121476,6033468.160405789,8.617763904653803
2017,RE/MAX,239,9876488547.0,15360,41324219.861924686,64.26778242677824
2017,Redfin,2,776648545.0,1102,388324272.5,551.0
2017,Sotheby's,51,6431365078.99,4343,126105197.6272549,85.15686274509804
2017,eXp,3,152906983.0,221,50968994.333333336,73.66666666666667
2018,Berkshire Hathaway,50,6172240916.64,6363,123444818.3328,127.26
2018,Century 21,153,5552646854.81,10952,36291809.508562095,71.58169934640523
2018,Coldwell Banker,146,15636998232.85,16081,107102727.62226027,110.14383561643835
2018,Compass,9,8189339201.0,4393,909926577.8888888,488.1111111111111
2018,Keller Williams,189,12678821017.5,16101,67083709.08730159,85.19047619047619
2018,Others,13498,83464130115.82,112524,6183444.222538155,8.336346125351904
2018,RE/MAX,236,9308572288.67,13813,39443102.91809322,58.529661016949156
2018,Redfin,2,1176170296.0,1599,588085148.0,799.5
2018,Sotheby's,47,6441186946.51,4121,137046530.77680853,87.68085106382979
2018,eXp,6,715159379.0,957,119193229.83333333,159.5
2019,Berkshire Hathaway,55,6129065567.0,6446,111437555.76363637,117.2
2019,Century 21,155,5072373656.5,9501,32724991.332258064,61.29677419354839
2019,Coldwell Banker,135,14929918157.31,16238,110591986.35044444,120.28148148148148
2019,Compass,15,12881239877.0,8013,858749325.1333333,534.2
2019,Keller Williams,194,12999656392.6,16730,67008538.10618557,86.23711340206185
2019,Others,13379,82141554361.37,110200,6139588.486536362,8.236788997682936
2019,RE/MAX,236,9484424831.65,14103,40188240.81207627,59.75847457627118
2019,Redfin,2,1517970218.0,2081,758985109.0,1040.5
2019,Sotheby's,48,6355415536.5,4353,132404490.34375,90.6875
2019,eXp,7,1264263824.27,1893,180609117.75285715,270.42857142857144
2020,Berkshire Hathaway,60,7115606409.82,6882,118593440.16366667,114.7
2020,Century 21,130,5054625323.059999,8521,38881733.25430769,65.54615384615384
2020,Coldwell Banker,123,15754855256.650002,15981,128088254.1191057,129.9268292682927
2020,Compass,12,20838981070.89,12922,1736581755.9075,1076.8333333333333
2020,Keller Williams,188,14842674458.21,17485,78950396.0543085,93.00531914893617
2020,Others,13182,93710949337.12,113141,7109008.446147777,8.582991958731604
2020,RE/MAX,215,10611000430.44,14383,49353490.37413954,66.89767441860465
2020,Redfin,2,1843600296.0,2399,921800148.0,1199.5
2020,Sotheby's,44,8075095092.97,4863,183524888.4765909,110.52272727272727
2020,eXp,7,2361501460.29,3213,337357351.46999997,459.0
2021,Berkshire Hathaway,68,9183256138.25,7449,135047884.38602942,109.54411764705883
2021,Century 21,125,6087036113.26,8621,48696288.90608,68.968
2021,Coldwell Banker,113,21301552757.35,17269,188509316.43672565,152.8230088495575
2021,Compass,20,31531765886.5,16333,1576588294.325,816.65
2021,Keller Williams,190,20518615713.329998,20071,107992714.2806842,105.63684210526316
2021,Others,14330,131458993583.5,129459,9173691.108408932,9.034124214933705
2021,RE/MAX,194,13698679378.52,15174,70611749.37381443,78.21649484536083
2021,Redfin,2,2740625245.5,2896,1370312622.75,1448.0
2021,Sotheby's,42,10130161619.15,5064,241194324.26547617,120.57142857142857
2021,eXp,7,5838038990.25,6367,834005570.0357143,909.5714285714286
2022,Berkshire Hathaway,61,6990577817.6,5202,114599636.35409836,85.27868852459017
2022,Century 21,112,4856266930.5,6367,43359526.165178575,56.848214285714285
2022,Coldwell Banker,101,16720087684.68,12305,165545422.62059405,121.83168316831683
2022,Compass,15,24327839906.32,11929,1621855993.7546666,795.2666666666667
2022,Keller Williams,181,15391632106.7,14343,85036641.47348067,79.24309392265194
2022,Others,12592,105517460150.11,98456,8379722.05766439,7.8189326556543834
2022,RE/MAX,181,10233163905.43,10628,56536817.15707182,58.71823204419889
2022,Redfin,2,2197050463.77,2214,1098525231.885,1107.0
2022,Sotheby's,41,7410390101.82,3500,180741221.99560976,85.36585365853658
2022,eXp,8,6071299196.0,6447,758912399.5,805.875
2023,Berkshire Hathaway,52,5185044855.27,3893,99712401.06288463,74.86538461538461
2023,Century 21,97,3480959511.5299997,4693,35886180.53123711,48.381443298969074
2023,Coldwell Banker,97,13310150395.5,9874,137218045.31443298,101.79381443298969
2023,Compass,16,17452360240.43,8949,1090772515.026875,559.3125
2023,Keller Williams,180,11951143598.7,11170,66395242.215,62.05555555555556
2023,Others,11005,81734964196.45,76970,7427075.347246706,6.99409359382099
2023,RE/MAX,165,7735975988.43,8045,46884702.96018182,48.75757575757576
2023,Redfin,2,1460622862.5,1493,730311431.25,746.5
2023,Sotheby's,36,5720290646.6,2819,158896962.40555558,78.30555555555556
2023,eXp,27,5532616569.95,5905,204911724.81296295,218.7037037037037
2024,Berkshire Hathaway,46,5583876322.5,4082,121388615.70652173,88.73913043478261
2024,Century 21,88,3406573259.0,4406,38711059.76136363,50.06818181818182
2024,Coldwell Banker,78,14027226785.7,9592,179836240.84230772,122.97435897435898
2024,Compass,13,19688819934.6,9698,1514524610.353846,746.0
2024,Keller Williams,163,12601612062.05,11140,77310503.4481595,68.34355828220859
2024,Others,11017,91784546782.72,80891,8331174.256396478,7.3423799582463465
2024,RE/MAX,144,8040395374.75,7868,55836078.99131945,54.638888888888886
2024,Redfin,2,1621987893.01,1512,810993946.505,756.0
2024,Sotheby's,39,6235041538.84,2920,159872859.97025642,74.87179487179488
2024,eXp,27,6220695144.3,6300,230396116.45555556,233.33333333333334
2025,Berkshire Hathaway,45,5591553208.67,3854,124256737.97044444,85.64444444444445
2025,Century 21,84,3464571314.0,4480,41244896.5952381,53.333333333333336
2025,Coldwell Banker,76,13332841167.720001,9331,175432120.62789476,122.77631578947368
2025,Compass,16,20107757374.41,9782,1256734835.900625,611.375
2025,Keller Williams,158,11601155665.55,10591,73425035.8579114,67.03164556962025
2025,Others,10242,92163972292.47,79683,8998630.374191564,7.780023432923257
2025,RE/MAX,134,6879509346.42,6959,51339621.98820896,51.93283582089552
2025,Redfin,2,1496514577.0,1401,748257288.5,700.5
2025,Sotheby's,38,6453192477.1,2984,169820854.66052634,78.52631578947368
2025,eXp,31,5992009097.99,5995,193290616.06419355,193.38709677419354
2026,Berkshire Hathaway,36,2674421075.0,1765,74289474.30555555,49.02777777777778
2026,Century 21,63,1746676024.0,2298,27725016.253968254,36.476190476190474
2026,Coldwell Banker,71,8293669847.3,4996,116812251.37042254,70.36619718309859
2026,Compass,10,11012536661.44,5147,1101253666.144,514.7
2026,Keller Williams,129,5528584637.5,4827,42857245.251937985,37.41860465116279
2026,Others,7047,48356516283.51,38718,6862000.324040017,5.494252873563219
2026,RE/MAX,116,3311298673.25,3264,28545678.217672415,28.137931034482758
2026,Redfin,2,700527196.0,674,350263598.0,337.0
2026,Sotheby's,27,3452640546.5,1514,127875575.7962963,56.074074074074076
2026,eXp,30,3070470427.0,3122,102349014.23333333,104.06666666666666
